"intercept","beta1","beta2","beta3","adj.r.sq","d","kernel","lugsail","alpha"
"6.46115737376068","24.3818520887996","39.0186693752887","-22.3083549918067","0.999871069889489","1","Bartlett","Mother","0.01"
"4.87942966843371","16.1969951237062","22.4767286752404","-11.0807740420677","0.999894692274014","1","Bartlett","Mother","0.025"
"3.69972362322889","10.9674851472844","14.6683049891536","-6.92954089706263","0.999942193998326","1","Bartlett","Mother","0.05"
"2.61869792232168","6.6661729176026","6.82029453403961","-2.21515886405083","0.999899376132617","1","Bartlett","Mother","0.1"
"-4.78816199175046","252.670795352624","-11.9037260609858","178.527890676707","0.992325047575216","1","Bartlett","Zero","0.01"
"1.01614925782511","105.615343670061","-21.5651176769337","79.4120396700558","0.996747266308933","1","Bartlett","Zero","0.025"
"2.28575834702999","49.0007502379688","4.17770015452638","23.6801536108264","0.999001003551573","1","Bartlett","Zero","0.05"
"2.08038558592509","22.8463798386314","6.47609906203192","5.32138495377944","0.999368078484294","1","Bartlett","Zero","0.1"
"-7.20921977682149","330.544536304632","-137.170640358673","142.772547801934","0.994818476216829","1","Bartlett","Adapt","0.01"
"1.24963587646657","118.911826414132","-36.0844758730776","47.3041549447597","0.997873389908796","1","Bartlett","Adapt","0.025"
"2.52923838601628","53.1958176587599","2.01131640870943","5.04620642846758","0.998883662377106","1","Bartlett","Adapt","0.05"
"2.19862409401773","25.0496119712446","2.21078801936229","1.51821083957938","0.999332994191502","1","Bartlett","Adapt","0.1"
"-3.00825945949052","356.217285123511","-263.185585872731","64.1281382744112","0.981989024008038","1","Bartlett","Over","0.01"
"1.73075428947877","140.947186580674","-121.039507981094","45.1974650249182","0.992056221872541","1","Bartlett","Over","0.025"
"2.51898982284755","66.0653204903783","-48.1543944234806","17.8435402703058","0.996144352633771","1","Bartlett","Over","0.05"
"2.13970285489288","30.6557891752719","-17.7404702984478","6.56664196540698","0.998387802099225","1","Bartlett","Over","0.1"
"6.37367537901911","22.270642905119","11.2053560056711","57.5676476403176","0.999945064513792","1","Parzen","Mother","0.01"
"5.01229343801075","11.1421721836761","17.7021550512015","19.5993975570647","0.999887533832185","1","Parzen","Mother","0.025"
"3.74871146454345","8.31094896472004","8.50615068634685","11.0284479713757","0.999972230892381","1","Parzen","Mother","0.05"
"2.69072807595408","4.32307653458683","6.31839016572708","3.19670604684007","0.999971023479257","1","Parzen","Mother","0.1"
"10.6025113648762","-54.6639753274098","337.291098361838","14.5823352985557","0.998906600597002","1","Parzen","Zero","0.01"
"6.86107024151351","-19.1695070173093","149.344009834234","-6.09200034989442","0.99927212052996","1","Parzen","Zero","0.025"
"4.53035982380824","-4.26401995609788","68.2709536720813","-2.39126408184557","0.999677801642528","1","Parzen","Zero","0.05"
"2.99160142271959","0.288154371884992","27.1867696522827","0.991740964671333","0.99970260436547","1","Parzen","Zero","0.1"
"12.5519175333348","-86.5197812912424","476.288636313667","-90.6638856610451","0.997702043392212","1","Parzen","Adapt","0.01"
"7.33443163318031","-28.1930361419038","197.292417369244","-46.3852771564561","0.998467786851601","1","Parzen","Adapt","0.025"
"4.83693984526242","-9.59826834330897","93.728801531456","-23.1450982090555","0.999310476585865","1","Parzen","Adapt","0.05"
"3.05770028454183","-0.934619858309281","34.8944525949397","-5.50787713375037","0.9995996379826","1","Parzen","Adapt","0.1"
"8.94198358768271","-45.7402747642223","416.286917334257","-108.994223216127","0.998555532241044","1","Parzen","Over","0.01"
"7.14379646911088","-28.2957571103495","210.068614066306","-70.4688726141188","0.999098603570463","1","Parzen","Over","0.025"
"4.64401354730035","-7.60582553322249","90.9895971636307","-25.5496930785853","0.999678502788094","1","Parzen","Over","0.05"
"2.95642553055007","0.230867594308065","32.1683559070538","-4.55634562520795","0.999853962577205","1","Parzen","Over","0.1"
"5.18127144611828","67.1244999306908","-113.767611130038","806.855438218819","0.999865505195904","1","QS","Mother","0.01"
"5.68450421073665","12.4297757065006","67.0065062436961","222.138677010707","0.999907821134469","1","QS","Mother","0.025"
"3.91016681270507","10.6578667230157","48.6613618478997","80.4246842631055","0.999974903714869","1","QS","Mother","0.05"
"2.68598063160389","7.94131618758469","19.2621746034644","36.398241495451","0.999981168776675","1","QS","Mother","0.1"
"7.63882669030394","7.96896066713136","799.140233699374","358.286455700251","0.996154143989367","1","QS","Zero","0.01"
"8.48720728640551","-39.660163486925","504.193085114167","4.59263141272676","0.998638390980933","1","QS","Zero","0.025"
"5.70865198567608","-18.7504043900293","259.053929501833","-16.7619265576431","0.998749956418164","1","QS","Zero","0.05"
"3.77584767279825","-9.89507414774295","124.544143625929","-17.1893392015099","0.999056835419697","1","QS","Zero","0.1"
"4.45554432299963","59.4037562574378","745.008489223452","285.284625665587","0.996208744049531","1","QS","Adapt","0.01"
"7.74916832999523","-26.0307394461337","498.886788049554","-34.7209507959225","0.998427089924679","1","QS","Adapt","0.025"
"5.31847829914821","-12.4724758621181","259.823269390504","-37.9671549793316","0.998886440077516","1","QS","Adapt","0.05"
"3.41240720963676","-4.22279984644807","116.480338766641","-18.7468988968046","0.999391326489348","1","QS","Adapt","0.1"
"1.94898918740088","116.62142770024","494.718820598743","544.539350149163","0.997909535198409","1","QS","Over","0.01"
"6.65242407739969","-6.0283186854802","427.143216564024","36.6732499628963","0.998983294180055","1","QS","Over","0.025"
"5.01998792782698","-6.61398383743703","238.168534663835","-11.2581115583594","0.999169364607426","1","QS","Over","0.05"
"3.41376755530405","-4.44919236909038","117.168229656764","-16.3913649613806","0.999544038176065","1","QS","Over","0.1"
